Edad;Sexo;Valor;Data;Tipo
8 años;Mujeres;25468;Absolutos;Extranjeros
9 años;Mujeres;24569;Absolutos;Extranjeros
10 años;Mujeres;24684;Absolutos;Extranjeros
11 años;Mujeres;24149;Absolutos;Extranjeros
12 años;Mujeres;23560;Absolutos;Extranjeros
13 años;Mujeres;21304;Absolutos;Extranjeros
14 años;Mujeres;20811;Absolutos;Extranjeros
15 años;Mujeres;20415;Absolutos;Extranjeros
16 años;Mujeres;20835;Absolutos;Extranjeros
17 años;Mujeres;20912;Absolutos;Extranjeros
18 años;Mujeres;22044;Absolutos;Extranjeros
19 años;Mujeres;25440;Absolutos;Extranjeros
20 años;Mujeres;29537;Absolutos;Extranjeros
21 años;Mujeres;33108;Absolutos;Extranjeros
22 años;Mujeres;36231;Absolutos;Extranjeros
23 años;Mujeres;40614;Absolutos;Extranjeros
24 años;Mujeres;43790;Absolutos;Extranjeros
25 años;Mujeres;47703;Absolutos;Extranjeros
26 años;Mujeres;51065;Absolutos;Extranjeros
27 años;Mujeres;53739;Absolutos;Extranjeros
28 años;Mujeres;56137;Absolutos;Extranjeros
29 años;Mujeres;57247;Absolutos;Extranjeros
30 años;Mujeres;60712;Absolutos;Extranjeros
31 años;Mujeres;62575;Absolutos;Extranjeros
32 años;Mujeres;64398;Absolutos;Extranjeros
33 años;Mujeres;64683;Absolutos;Extranjeros
34 años;Mujeres;65195;Absolutos;Extranjeros
35 años;Mujeres;65102;Absolutos;Extranjeros
36 años;Mujeres;65264;Absolutos;Extranjeros
37 años;Mujeres;64254;Absolutos;Extranjeros
38 años;Mujeres;64714;Absolutos;Extranjeros
39 años;Mujeres;63494;Absolutos;Extranjeros
40 años;Mujeres;62800;Absolutos;Extranjeros
41 años;Mujeres;60492;Absolutos;Extranjeros
42 años;Mujeres;58402;Absolutos;Extranjeros
43 años;Mujeres;55329;Absolutos;Extranjeros
44 años;Mujeres;52735;Absolutos;Extranjeros
45 años;Mujeres;50018;Absolutos;Extranjeros
46 años;Mujeres;47981;Absolutos;Extranjeros
47 años;Mujeres;44026;Absolutos;Extranjeros
48 años;Mujeres;42902;Absolutos;Extranjeros
49 años;Mujeres;40678;Absolutos;Extranjeros
50 años;Mujeres;39855;Absolutos;Extranjeros
51 años;Mujeres;37829;Absolutos;Extranjeros
52 años;Mujeres;37228;Absolutos;Extranjeros
53 años;Mujeres;34824;Absolutos;Extranjeros
54 años;Mujeres;30740;Absolutos;Extranjeros
55 años;Mujeres;29498;Absolutos;Extranjeros
56 años;Mujeres;28903;Absolutos;Extranjeros
57 años;Mujeres;27414;Absolutos;Extranjeros
58 años;Mujeres;25778;Absolutos;Extranjeros
59 años;Mujeres;23586;Absolutos;Extranjeros
60 años;Mujeres;23399;Absolutos;Extranjeros
61 años;Mujeres;21736;Absolutos;Extranjeros
62 años;Mujeres;20649;Absolutos;Extranjeros
63 años;Mujeres;19601;Absolutos;Extranjeros
64 años;Mujeres;18519;Absolutos;Extranjeros
65 años;Mujeres;17490;Absolutos;Extranjeros
66 años;Mujeres;16634;Absolutos;Extranjeros
67 años;Mujeres;15569;Absolutos;Extranjeros
68 años;Mujeres;14957;Absolutos;Extranjeros
69 años;Mujeres;13540;Absolutos;Extranjeros
70 años;Mujeres;13353;Absolutos;Extranjeros
71 años;Mujeres;12262;Absolutos;Extranjeros
72 años;Mujeres;11525;Absolutos;Extranjeros
